DY,MO,HR,solar radiation,module_temp,wind direction,wind speed,power
1,1,6,70.077,17.175,1.99,3.8,28.702
1,1,7,312.699,22.702,1.9,4.6,159.778
1,1,8,549.085,27.316,2.14,5.5,279.99
1,1,9,735.121,31.169,1.66,6.1,366.577
1,1,10,850.934,33.919,1.57,6.4,417.275
1,1,11,886.499,35.306,1.68,6.5,431.615
1,1,12,847.106,35.6,1.95,6.3,412.883
1,1,13,728.179,34.15,2.09,5.8,359.205
1,1,14,533.291,30.362,1.98,5.4,268.882
1,1,15,296.467,25.519,1.77,5.0,149.064
1,1,16,54.323,20.488,1.29,5.1,21.26
1,1,17,0.0,19.1,0.91,5.5,0.0
1,1,18,0.0,18.9,0.5,5.6,0.0
2,1,6,87.547,20.352,2.35,2.4,34.894
2,1,7,344.623,28.703,2.24,2.6,172.469
2,1,8,583.142,36.693,2.85,2.7,287.249
2,1,9,767.954,42.589,2.28,2.9,366.47
2,1,10,889.513,47.341,1.98,2.8,413.702
2,1,11,926.439,50.374,2.02,2.5,424.734
2,1,12,889.081,51.839,1.95,2.1,406.151
2,1,13,777.757,50.154,1.87,1.8,360.216
2,1,14,592.104,44.89,1.81,1.6,282.73
2,1,15,354.733,37.274,1.7,1.1,171.109
2,1,16,95.732,26.213,1.32,0.9,35.464
2,1,17,0.0,21.7,1.09,1.0,0.0
2,1,18,0.0,20.9,0.95,1.0,0.0
3,1,6,107.403,21.303,2.31,1.7,41.602
3,1,7,368.385,32.053,2.25,1.6,182.238
3,1,8,607.156,44.673,2.89,1.1,290.114
3,1,9,793.778,55.786,2.47,0.8,358.793
3,1,10,902.873,65.253,2.22,0.4,388.934
3,1,11,924.093,63.828,2.23,0.7,399.352
3,1,12,879.206,57.653,2.24,1.3,391.37
3,1,13,760.591,51.828,2.2,1.6,349.376
3,1,14,575.635,45.375,2.07,1.6,273.85
3,1,15,336.131,36.951,1.87,1.2,162.197
3,1,16,80.112,25.687,1.41,1.1,30.541
3,1,17,0.0,21.7,1.09,1.3,0.0
3,1,18,0.0,21.1,0.9,1.5,0.0
4,1,6,9.462,18.757,1.86,2.0,3.672
4,1,7,46.496,20.839,1.86,2.3,22.172
4,1,8,503.054,33.786,2.26,2.4,248.921
4,1,9,649.585,38.167,1.9,2.5,313.326
4,1,10,750.431,40.975,1.31,2.6,355.764
4,1,11,801.684,42.497,1.1,2.7,377.033
4,1,12,752.286,41.363,0.88,2.8,356.134
4,1,13,647.177,38.667,0.65,2.9,311.454
4,1,14,486.267,34.352,0.61,2.9,239.793
4,1,15,266.581,28.578,0.74,2.4,132.103
4,1,16,45.142,21.295,0.81,1.7,18.158
4,1,17,0.0,18.9,0.91,1.4,0.0
4,1,18,0.0,18.2,1.1,1.4,0.0
5,1,6,89.333,15.753,2.05,2.0,35.444
5,1,7,361.434,25.693,1.82,2.5,183.047
5,1,8,616.554,34.2,1.96,2.9,306.985
5,1,9,816.752,40.004,1.71,3.2,393.809
5,1,10,943.926,43.725,2.13,3.3,445.232
5,1,11,986.873,45.13,2.43,3.4,461.868
5,1,12,950.219,44.41,2.21,3.5,447.215
5,1,13,833.427,41.905,2.02,3.5,399.167
5,1,14,629.608,37.616,1.8,3.1,309.527
5,1,15,381.57,31.289,1.69,2.1,189.27
5,1,16,108.405,20.946,1.49,1.4,42.268
5,1,17,0.0,16.2,1.74,1.4,0.0
5,1,18,0.0,15.4,2.11,1.4,0.0
6,1,6,94.401,12.992,2.32,1.6,37.432
6,1,7,363.442,24.596,1.99,1.6,184.813
6,1,8,611.862,36.115,1.92,1.5,302.17
6,1,9,805.405,44.468,1.31,1.7,381.053
6,1,10,920.938,50.407,1.45,1.7,422.238
6,1,11,993.531,53.785,1.27,1.7,448.195
6,1,12,951.011,51.282,0.76,2.0,434.656
6,1,13,821.806,46.66,0.43,2.2,385.645
6,1,14,634.758,41.158,0.79,2.1,307.598
6,1,15,381.783,32.929,1.3,1.5,188.253
6,1,16,105.326,21.151,1.53,1.3,41.818
6,1,17,0.0,16.5,1.85,1.4,0.0
6,1,18,0.0,16.0,2.35,1.4,0.0
7,1,6,97.216,15.474,2.41,0.6,38.769
7,1,7,368.205,29.567,2.34,0.5,183.646
7,1,8,617.062,42.844,3.11,0.5,296.789
7,1,9,808.798,51.339,2.55,0.8,372.149
7,1,10,932.046,52.809,2.28,1.5,423.231
7,1,11,978.648,52.251,1.94,2.0,444.567
7,1,12,944.769,49.606,1.68,2.4,434.891
7,1,13,822.756,45.851,1.65,2.5,387.37
7,1,14,605.425,40.208,1.92,2.2,293.992
7,1,15,356.443,32.231,2.22,1.5,176.0
7,1,16,92.646,21.155,2.07,1.2,37.576
7,1,17,0.0,17.1,1.79,1.2,0.0
7,1,18,0.0,17.1,1.9,1.1,0.0
8,1,6,87.075,15.048,2.14,1.2,35.008
8,1,7,345.095,26.955,2.01,1.2,173.545
8,1,8,585.879,39.98,2.5,0.9,284.602
8,1,9,777.721,50.11,2.04,0.9,359.287
8,1,10,899.221,53.299,1.82,1.3,407.111
8,1,11,909.722,51.264,1.43,1.8,414.069
8,1,12,871.147,48.346,1.45,2.2,402.282
8,1,13,755.658,44.273,1.98,2.4,357.126
8,1,14,566.344,38.84,2.48,2.3,275.861
8,1,15,332.961,31.46,2.72,1.6,164.636
8,1,16,83.358,20.902,2.26,1.3,33.933
8,1,17,0.0,16.8,1.89,1.4,0.0
8,1,18,0.0,16.0,1.91,1.4,0.0
9,1,6,44.682,11.672,2.84,1.7,18.304
9,1,7,267.332,20.983,2.7,1.8,136.525
9,1,8,507.942,32.359,3.24,1.6,252.765
9,1,9,702.594,41.61,2.42,1.6,334.892
9,1,10,832.143,45.775,2.3,1.9,387.81
9,1,11,942.848,46.975,1.7,2.5,436.994
9,1,12,904.803,45.198,1.35,2.8,423.413
9,1,13,781.322,41.898,1.6,2.9,373.037
9,1,14,587.204,37.622,2.06,2.5,287.611
9,1,15,345.076,30.835,2.3,1.6,171.334
9,1,16,89.275,20.458,1.94,1.2,36.668
9,1,17,0.0,16.1,1.55,1.3,0.0
9,1,18,0.0,15.1,1.36,1.4,0.0
10,1,6,74.233,11.948,2.33,1.8,30.133
10,1,7,332.005,22.59,2.05,1.9,169.537
10,1,8,585.354,35.597,2.34,1.4,289.209
10,1,9,788.107,46.907,1.64,1.2,368.835
10,1,10,919.59,53.6,1.59,1.2,415.659
10,1,11,975.93,55.073,1.72,1.4,437.411
10,1,12,938.173,52.423,1.96,1.7,426.267
10,1,13,822.519,47.957,2.2,1.9,383.382
10,1,14,630.508,42.042,2.37,1.8,303.945
10,1,15,382.084,33.313,2.57,1.3,188.505
10,1,16,108.27,21.058,2.22,1.2,44.399
10,1,17,0.0,16.0,1.96,1.4,0.0
10,1,18,0.0,15.0,2.06,1.4,0.0
11,1,6,74.708,10.798,2.63,2.2,30.357
11,1,7,331.948,20.956,3.2,2.3,170.535
11,1,8,584.329,32.715,3.68,1.9,291.918
11,1,9,779.727,42.49,3.22,1.8,371.451
11,1,10,909.859,51.455,3.11,1.4,414.866
11,1,11,996.519,58.018,2.66,1.1,441.082
